ID	Left	Right
ST13_817384.1	MarkerGene__57	GenomicSeq__scaffold_31786
ST13_841600.2	GenomicSeq__scaffold_1283	MarkerGene__3
ST13_616049.1	GenomicSeq__scaffold_14	MarkerGene__59
ST13_479139.2	GenomicSeq__scaffold_1927	MarkerGene__4
ST13_307746.1	MarkerGene__34	GenomicSeq__scaffold_3276
ST13_531326.1	MarkerGene__15	GenomicSeq__scaffold_1283
ST13_497360.2	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_839740.1	MarkerGene__34	GenomicSeq__scaffold_10331
ST13_91511.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_886460.2	MarkerGene__53	GenomicSeq__scaffold_751
ST13_185798.1	MarkerGene__57	GenomicSeq__scaffold_32115
ST13_258537.1	GenomicSeq__scaffold_14	MarkerGene__59
ST13_494414.2	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_428258.2	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_765106.1	GenomicSeq__scaffold_20229	MarkerGene__17
ST13_81334.1	GenomicSeq__scaffold_1283	MarkerGene__3
ST13_246238.2	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_775210.1	GenomicSeq__scaffold_3226	MarkerGene__34
ST13_479139.1	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_479139.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_479139.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_18147.1	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_18147.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_18147.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_372534.1	MarkerGene__53	GenomicSeq__scaffold_5939
ST13_642324.1	GenomicSeq__scaffold_1283	MarkerGene__15
ST13_409181.1	GenomicSeq__scaffold_850	MarkerGene__66
ST13_765106.2	GenomicSeq__scaffold_20229	MarkerGene__17
ST13_206389.1	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_599789.1	MarkerGene__57	GenomicSeq__scaffold_18107
ST13_419290.1	MarkerGene__59	GenomicSeq__scaffold_14
ST13_621960.2	MarkerGene__34	GenomicSeq__scaffold_3276
ST13_476533.2	GenomicSeq__scaffold_33384	MarkerGene__57
ST13_12119.2	GenomicSeq__scaffold_18107	MarkerGene__17
ST13_860564.1	GenomicSeq__scaffold_14	MarkerGene__59
ST13_915952.2	GenomicSeq__scaffold_850	MarkerGene__66
ST13_439726.2	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_594098.2	MarkerGene__66	GenomicSeq__scaffold_850
ST13_756902.1	GenomicSeq__scaffold_1539	MarkerGene__66
ST13_33546.1	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_222884.2	MarkerGene__66	GenomicSeq__scaffold_1539
ST13_673393.1	MarkerGene__3	GenomicSeq__scaffold_1283
ST13_655739.1	GenomicSeq__scaffold_751	MarkerGene__36
ST13_385573.1	MarkerGene__66	GenomicSeq__scaffold_850
ST13_523604.2	GenomicSeq__scaffold_1539	MarkerGene__66
ST13_918084.2	GenomicSeq__scaffold_1283	MarkerGene__3
ST13_231500.2	MarkerGene__66	GenomicSeq__scaffold_452
ST13_486481.1	GenomicSeq__scaffold_850	MarkerGene__66
ST13_828884.1	MarkerGene__17	GenomicSeq__scaffold_27693
ST13_828884.1	MarkerGene__17	GenomicSeq__scaffold_6560
ST13_919148.1	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_919148.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_919148.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_788822.2	GenomicSeq__scaffold_3226	MarkerGene__34
ST13_57668.2	MarkerGene__4	GenomicSeq__scaffold_3554
ST13_117946.2	GenomicSeq__scaffold_5939	MarkerGene__53
ST13_775076.2	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_878162.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_703504.1	GenomicSeq__scaffold_14	MarkerGene__59
ST13_211486.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_931281.1	GenomicSeq__scaffold_18107	MarkerGene__17
ST13_282499.1	GenomicSeq__scaffold_28138	MarkerGene__4
ST13_807827.2	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_636354.1	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_602071.2	MarkerGene__59	GenomicSeq__scaffold_14
ST13_493021.1	MarkerGene__66	GenomicSeq__scaffold_850
ST13_207441.2	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_207441.2	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_207441.2	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_103690.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_38538.2	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_399560.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_526638.1	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_14021.2	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_749397.1	MarkerGene__66	GenomicSeq__scaffold_850
ST13_277329.1	MarkerGene__53	GenomicSeq__scaffold_751
ST13_187650.1	MarkerGene__66	GenomicSeq__scaffold_1539
ST13_431780.1	MarkerGene__34	GenomicSeq__scaffold_34183
ST13_431780.1	MarkerGene__34	GenomicSeq__scaffold_13781
ST13_431780.1	MarkerGene__34	GenomicSeq__scaffold_110
ST13_523496.1	MarkerGene__17	GenomicSeq__scaffold_18107
ST13_807827.1	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_825234.1	GenomicSeq__scaffold_32144	MarkerGene__57
ST13_39754.1	GenomicSeq__scaffold_1283	MarkerGene__3
ST13_488881.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_74161.1	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_648960.1	GenomicSeq__scaffold_1283	MarkerGene__4
ST13_195806.2	GenomicSeq__scaffold_1283	MarkerGene__4
ST13_38538.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_855922.2	GenomicSeq__scaffold_23898	MarkerGene__57
ST13_855922.2	GenomicSeq__scaffold_1927	MarkerGene__57
ST13_852555.2	MarkerGene__66	GenomicSeq__scaffold_850
ST13_788822.1	GenomicSeq__scaffold_3226	MarkerGene__34
ST13_57668.1	MarkerGene__4	GenomicSeq__scaffold_3554
ST13_902969.1	MarkerGene__66	GenomicSeq__scaffold_850
ST13_715139.2	GenomicSeq__scaffold_33225	MarkerGene__4
ST13_715139.2	GenomicSeq__scaffold_14884	MarkerGene__4
ST13_281050.1	MarkerGene__66	GenomicSeq__scaffold_102
ST13_612444.2	GenomicSeq__scaffold_850	MarkerGene__66
ST13_500127.1	GenomicSeq__scaffold_5939	MarkerGene__53
ST13_855227.1	GenomicSeq__scaffold_14	MarkerGene__59
ST13_439726.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_130022.1	GenomicSeq__scaffold_1753	MarkerGene__57
ST13_625063.1	MarkerGene__66	GenomicSeq__scaffold_850
ST13_91511.2	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_91511.2	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_91511.2	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_510466.1	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_12119.1	GenomicSeq__scaffold_18107	MarkerGene__17
ST13_676128.1	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_494414.1	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_353315.1	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_35801.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_449435.1	MarkerGene__34	GenomicSeq__scaffold_10331
ST13_829761.1	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_829761.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_829761.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_748104.1	GenomicSeq__scaffold_14	MarkerGene__59
ST13_531750.1	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_531750.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_531750.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_399938.1	GenomicSeq__scaffold_1283	MarkerGene__15
ST13_506426.1	MarkerGene__59	GenomicSeq__scaffold_14
ST13_658663.1	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_658663.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_658663.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_544043.1	GenomicSeq__scaffold_18825	MarkerGene__57
ST13_778674.1	MarkerGene__15	GenomicSeq__scaffold_1283
ST13_510830.1	MarkerGene__3	GenomicSeq__scaffold_1283
ST13_667624.1	GenomicSeq__scaffold_1539	MarkerGene__66
ST13_28902.1	MarkerGene__15	GenomicSeq__scaffold_1283
ST13_391156.1	GenomicSeq__scaffold_1283	MarkerGene__3
ST13_205017.2	MarkerGene__66	GenomicSeq__scaffold_850
ST13_236798.1	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_236798.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_236798.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_817384.2	MarkerGene__57	GenomicSeq__scaffold_31786
ST13_142229.2	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_140110.1	GenomicSeq__scaffold_18107	MarkerGene__17
ST13_155339.1	GenomicSeq__scaffold_18107	MarkerGene__17
ST13_419290.2	MarkerGene__59	GenomicSeq__scaffold_14
ST13_493021.2	MarkerGene__66	GenomicSeq__scaffold_850
ST13_456125.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_869942.1	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_869942.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_869942.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_427859.1	GenomicSeq__scaffold_14	MarkerGene__59
ST13_544840.1	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_528602.1	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_940904.2	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_48432.1	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_48432.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_48432.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_445704.1	GenomicSeq__scaffold_14	MarkerGene__59
ST13_621447.2	GenomicSeq__scaffold_3226	MarkerGene__34
ST13_205017.1	MarkerGene__66	GenomicSeq__scaffold_850
ST13_669378.2	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_628899.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_408089.1	GenomicSeq__scaffold_18107	MarkerGene__17
ST13_578106.1	GenomicSeq__scaffold_1927	MarkerGene__15
ST13_282499.2	GenomicSeq__scaffold_28138	MarkerGene__4
ST13_636559.2	MarkerGene__66	GenomicSeq__scaffold_850
