ID	R1	R2
ST13_832957	MarkerGene__34	GenomicSeq__scaffold_3226
ST13_604806	MarkerGene__59	GenomicSeq__scaffold_14
ST13_580627	GenomicSeq__scaffold_14	MarkerGene__59
ST13_273871	GenomicSeq__scaffold_367	MarkerGene__53
ST13_108806	MarkerGene__53	GenomicSeq__scaffold_751
ST13_536385	MarkerGene__59	GenomicSeq__scaffold_14
ST13_69867	MarkerGene__59	GenomicSeq__scaffold_14
ST13_272814	GenomicSeq__scaffold_14	MarkerGene__59
ST13_479533	MarkerGene__59	GenomicSeq__scaffold_14
ST13_675642	MarkerGene__57	GenomicSeq__scaffold_18107
ST13_409786	GenomicSeq__scaffold_33244	MarkerGene__17
ST13_110301	GenomicSeq__scaffold_10331	MarkerGene__34
ST13_224466	MarkerGene__66	GenomicSeq__scaffold_452
ST13_257637	GenomicSeq__scaffold_14	MarkerGene__59
ST13_466995	GenomicSeq__scaffold_2164	MarkerGene__53
ST13_621453	MarkerGene__53	GenomicSeq__scaffold_751
ST13_120103	GenomicSeq__scaffold_18825	MarkerGene__57
ST13_76992	MarkerGene__59	GenomicSeq__scaffold_14
ST13_275741	GenomicSeq__scaffold_14	MarkerGene__59
ST13_794543	GenomicSeq__scaffold_1927	MarkerGene__4
ST13_833073	GenomicSeq__scaffold_367	MarkerGene__53
ST13_688013	GenomicSeq__scaffold_367	MarkerGene__53
ST13_859898	GenomicSeq__scaffold_18825	MarkerGene__17
ST13_320134	GenomicSeq__scaffold_14	MarkerGene__59
ST13_325534	MarkerGene__59	GenomicSeq__scaffold_14
ST13_101811	GenomicSeq__scaffold_452	MarkerGene__66
ST13_844247	MarkerGene__34	GenomicSeq__scaffold_2164
ST13_278426	MarkerGene__59	GenomicSeq__scaffold_14
ST13_450700	GenomicSeq__scaffold_18107	MarkerGene__17
ST13_452340	GenomicSeq__scaffold_1283	MarkerGene__3
ST13_729895	GenomicSeq__scaffold_18107	MarkerGene__57
ST13_722916	GenomicSeq__scaffold_850	MarkerGene__66
ST13_268834	MarkerGene__59	GenomicSeq__scaffold_14
ST13_167521	MarkerGene__53	GenomicSeq__scaffold_751
ST13_245987	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_563585	GenomicSeq__scaffold_14	MarkerGene__59
ST13_126210	GenomicSeq__scaffold_850	MarkerGene__66
ST13_310180	MarkerGene__59	GenomicSeq__scaffold_14
ST13_806257	GenomicSeq__scaffold_751	MarkerGene__53
ST13_503159	GenomicSeq__scaffold_1539	MarkerGene__66
ST13_272792	MarkerGene__59	GenomicSeq__scaffold_14
ST13_708000	GenomicSeq__scaffold_14	MarkerGene__59
ST13_125645	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_780299	MarkerGene__59	GenomicSeq__scaffold_14
ST13_872486	GenomicSeq__scaffold_14	MarkerGene__59
ST13_764355	MarkerGene__59	GenomicSeq__scaffold_14
ST13_220307	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_313292	MarkerGene__3	GenomicSeq__scaffold_1283
ST13_35000	MarkerGene__59	GenomicSeq__scaffold_14
ST13_172073	GenomicSeq__scaffold_452	MarkerGene__66
ST13_693897	GenomicSeq__scaffold_367	MarkerGene__53
ST13_732728	GenomicSeq__scaffold_2164	MarkerGene__53
ST13_25065	MarkerGene__66	GenomicSeq__scaffold_850
ST13_479018	MarkerGene__59	GenomicSeq__scaffold_14
ST13_343014	MarkerGene__59	GenomicSeq__scaffold_14
ST13_197483	MarkerGene__53	GenomicSeq__scaffold_367
ST13_798282	GenomicSeq__scaffold_14	MarkerGene__59
ST13_920992	GenomicSeq__scaffold_14	MarkerGene__59
ST13_144930	MarkerGene__59	GenomicSeq__scaffold_14
ST13_468604	MarkerGene__53	GenomicSeq__scaffold_751
ST13_939566	MarkerGene__59	GenomicSeq__scaffold_14
ST13_627298	MarkerGene__59	GenomicSeq__scaffold_14
ST13_659058	MarkerGene__66	GenomicSeq__scaffold_102
ST13_495453	MarkerGene__59	GenomicSeq__scaffold_14
ST13_597557	MarkerGene__3	GenomicSeq__scaffold_1283
ST13_236166	GenomicSeq__scaffold_751	MarkerGene__53
ST13_492408	GenomicSeq__scaffold_14	MarkerGene__59
ST13_303904	MarkerGene__59	GenomicSeq__scaffold_14
ST13_225223	GenomicSeq__scaffold_1927	MarkerGene__4
ST13_3153	MarkerGene__59	GenomicSeq__scaffold_14
ST13_638226	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_650901	MarkerGene__3	GenomicSeq__scaffold_1283
ST13_36136	GenomicSeq__scaffold_3226	MarkerGene__34
ST13_401008	MarkerGene__59	GenomicSeq__scaffold_14
ST13_517239	MarkerGene__57	GenomicSeq__scaffold_18107
ST13_292492	MarkerGene__59	GenomicSeq__scaffold_14
ST13_893670	MarkerGene__59	GenomicSeq__scaffold_14
ST13_455441	MarkerGene__3	GenomicSeq__scaffold_1283
ST13_176205	GenomicSeq__scaffold_13858	MarkerGene__57
ST13_886403	GenomicSeq__scaffold_20229	MarkerGene__17
ST13_206764	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_84823	MarkerGene__53	GenomicSeq__scaffold_1185
ST13_859955	GenomicSeq__scaffold_2057	MarkerGene__34
ST13_522798	MarkerGene__34	GenomicSeq__scaffold_3226
ST13_742757	GenomicSeq__scaffold_751	MarkerGene__53
ST13_20823	MarkerGene__66	GenomicSeq__scaffold_850
ST13_34020	GenomicSeq__scaffold_850	MarkerGene__66
