GenomicSeq,MarkerGene,Num
MarkerGene__53,GenomicSeq__scaffold_1185,1
MarkerGene__53,GenomicSeq__scaffold_751,7
MarkerGene__17,GenomicSeq__scaffold_20229,4
MarkerGene__3,GenomicSeq__scaffold_1283,5
MarkerGene__17,GenomicSeq__scaffold_18825,1
MarkerGene__57,GenomicSeq__scaffold_18107,3
MarkerGene__34,GenomicSeq__scaffold_3226,3
MarkerGene__66,GenomicSeq__scaffold_1539,1
MarkerGene__59,GenomicSeq__scaffold_14,35
MarkerGene__53,GenomicSeq__scaffold_2164,2
MarkerGene__34,GenomicSeq__scaffold_2164,1
MarkerGene__66,GenomicSeq__scaffold_850,5
MarkerGene__34,GenomicSeq__scaffold_2057,1
MarkerGene__17,GenomicSeq__scaffold_18107,1
MarkerGene__53,GenomicSeq__scaffold_367,5
MarkerGene__4,GenomicSeq__scaffold_1927,2
MarkerGene__66,GenomicSeq__scaffold_102,1
MarkerGene__57,GenomicSeq__scaffold_18825,3
MarkerGene__57,GenomicSeq__scaffold_13858,1
MarkerGene__34,GenomicSeq__scaffold_10331,1
MarkerGene__66,GenomicSeq__scaffold_452,3
MarkerGene__17,GenomicSeq__scaffold_33244,1
