GenomicSeq,MarkerGene,Num
MarkerGene__66,GenomicSeq__scaffold_8997,1
MarkerGene__4,GenomicSeq__scaffold_14884,1
MarkerGene__53,GenomicSeq__scaffold_367,2
MarkerGene__34,GenomicSeq__scaffold_3276,2
MarkerGene__4,GenomicSeq__scaffold_1283,24
MarkerGene__34,GenomicSeq__scaffold_13781,1
MarkerGene__53,GenomicSeq__scaffold_751,3
MarkerGene__17,GenomicSeq__scaffold_20229,16
MarkerGene__57,GenomicSeq__scaffold_32115,1
MarkerGene__17,GenomicSeq__scaffold_6560,1
MarkerGene__57,GenomicSeq__scaffold_18107,1
MarkerGene__34,GenomicSeq__scaffold_3226,9
MarkerGene__53,GenomicSeq__scaffold_5939,3
MarkerGene__57,GenomicSeq__scaffold_31786,2
MarkerGene__17,GenomicSeq__scaffold_27693,1
MarkerGene__66,GenomicSeq__scaffold_14053,1
MarkerGene__4,GenomicSeq__scaffold_3554,2
MarkerGene__66,GenomicSeq__scaffold_1539,5
MarkerGene__17,GenomicSeq__scaffold_18107,11
MarkerGene__66,GenomicSeq__scaffold_1824,1
MarkerGene__15,GenomicSeq__scaffold_8106,1
MarkerGene__57,GenomicSeq__scaffold_1753,1
MarkerGene__59,GenomicSeq__scaffold_14,16
MarkerGene__57,GenomicSeq__scaffold_1927,1
MarkerGene__15,GenomicSeq__scaffold_1283,5
MarkerGene__66,GenomicSeq__scaffold_850,19
MarkerGene__4,GenomicSeq__scaffold_1927,29
MarkerGene__57,GenomicSeq__scaffold_11495,1
MarkerGene__66,GenomicSeq__scaffold_102,2
MarkerGene__4,GenomicSeq__scaffold_33225,1
MarkerGene__57,GenomicSeq__scaffold_33384,2
MarkerGene__34,GenomicSeq__scaffold_34183,1
MarkerGene__15,GenomicSeq__scaffold_1927,1
MarkerGene__57,GenomicSeq__scaffold_18825,18
MarkerGene__36,GenomicSeq__scaffold_751,2
MarkerGene__34,GenomicSeq__scaffold_110,1
MarkerGene__4,GenomicSeq__scaffold_28138,2
MarkerGene__57,GenomicSeq__scaffold_32144,1
MarkerGene__3,GenomicSeq__scaffold_1283,12
MarkerGene__34,GenomicSeq__scaffold_10331,2
MarkerGene__57,GenomicSeq__scaffold_23898,1
MarkerGene__66,GenomicSeq__scaffold_452,1
MarkerGene__4,GenomicSeq__scaffold_4822,15
